name,line
Stewie," Oh, Machiavelli! You've told me nothing I don't already know! Ah, Sun Tzu's ""The Art of War."""
Lois," Stewie, those books aren't for babies. Here. Watch the Teletubbies."
Stewie," How dare you! That book may hold the key to my enslaving of all mankind. Ooh, fuzzy."
Teletubby, [giddy laughter] Tickle.
Stewie," God, the more I resist, the more intriguing they become! I can't look away!"
Teletubbies, Again! Again!
Stewie," Yes! Yes! Again! Again! Oh, dear God, please once more!"
Peter," Sorry, Stewie. A&E Biography is doing the life of the other guy from Wham."
Stewie," I'm free! Free from the spell of those diabolical Teletubbies! Thank you. When the world is mine, your death shall be quick and painless."
 Weed," Attention, please. Tomorrow is softball practice. We have a lot of work to do for Saturday's game. Let's not forget how badly we were humiliated last year by Pawtucket Joke and Novelties."
Pawtucket players, [Raucous laughter]
Peter, [Peter giggles] Look at those morons and their stupid glasses.
Peter," Oh, man. I hate those guys. More than I hate spinach, traffic jams, and the last few years of M* A*S*H. You know, when Alan Alda took over behind the camera and the show got all dramatic and preachy? Huh, am I right? Who's with me?"
 Weed, This year we will defeat those Pranksters with our secret weapon: Guillermo.
Man, [Screaming]
 Weed, Bravo! I hired Guillermo because I believe he will be an asset to our company on and off the field.
Weed," Back to work, people."
Peter," Heya, Mr. Weed, I got a great idea for a new line of TV action figures. Facts of Life Transformers, huh? Watch the transformation: cute as a button/fat as a cow/radioactive scorpion. Huh? Watch out, Mrs. Garrett. Here comes Blair!"
 Weed, I'll consider it.
Peter," He'll consider it! Hey, I got another one where Natalie's one of those spittin' lizards from Jurassic Park."
Contestant," Pat, I would like to solve the puzzle. ""Go tuck yourself in."""
Pat Sajak, You got it.
Chris," Well, you were close, Dad."
Peter," Yeah. I still can't believe we missed the phrase, ""My hairy aunt."" Come on, Brian. I gotta get to softball practice."
Lois, Practice? I thought we were go next door and welcome our new neighbors.
Peter," Oh, no, no, no. I don't want anything to do with neighbors. Last guy who lived next door borrowed my toaster. Never saw it again."
Man," If that slut wants full custody of the kids, she's got it."
Lois," Peter, they might be very nice people."
Peter," ""Very nice people."" Yeah, that's what they always say. Then you open up the septic tank and bam! Skeleton city!"
Brian, [Panting]
Woman, Pervert!
Brian," Oh, don't flatter yourself, honey. I don't have any sweat glands."
 Weed," Okay, my Happy-Go-Lucky Toy Boys, time for batting practice. Guillermo, you're up. Unfortunately, Johnson isn't here to pitch today. His wife is in labor."
Peter," Oh, what? Is the baby coming out of him? Jeez, I'll pitch."
Brian," Ha. I don't know what's more questionable, your pitching arm or Bill Clinton's integrity."
Peter," Oh, how hard..."
Peter," Oh, how hard can it be to pitch?"
Peter, Okay. Take your base.
 Weed," Somebody call 911. Tell them he is allergic to penicillin and white zinfandel! Idiot! If you don't find a ringer to replace Guillermo, you're fired!"
Peter," Oh, man. What am I gonna do if I get fired? I'll have to go back to my old job as a Calvin Klein model."
Guy, But I don't want to be different.
Peter," What was the name of the bad guy from Tron? Ah, this is gonna drive me nuts!"
Lois, Moving is never easy on a family.
Bonnie," Well, we are gonna miss the go-go-go pace of Providence. But with number two on the way, Joe thought it was time to move. And I can't say no to Joe. Ever."
Lois," Oh, Quahog can be pretty exciting, too. Last week, someone lost an eye at Bingo."
Man," I-17. Oh, darn it. [screams]"
Bonnie," Oh, I haven't played Bingo in years!"
Stewie," Silence! Ever since you two met, you've done nothing but wax idiotic! I must escape this infernal babble! Aagh!"
Bonnie, [Chuckles] What a little explorer.
Lois, Yes. He's so full of wonder.
Stewie," Oh, to be the Lindbergh baby right about now."
Bonnie," Joe, you have to meet our new neighbor, Lois Griffin."
Joe," It's a pleasure, Lois. Who's the little guy?"
Lois," This is Stewie. Honey, say hi to Mr. Swanson."
Stewie, You will bow to me.
Meg, Hi. I'm Meg. I live next door.
Kevin, I know. I've admired you in the garden from afar.
Meg, Will you go out with me?
Kevin, I'd love to.
Chris," Oh, he's gay."
Meg," You wish! Get out of here, you mouth-breather!"
Peter," I'm as good as fired. Where the hell am I gonna find a guy as strong as Guillermo? One time I walked into the locker room, I swear he was bench-pressing Mr. Weed. Ah, great. Lois is getting chummy with the new neighbors."
Brian, I think she wants you to meet them.
Peter," She's always making me be social. Cocktail parties, school functions, that time we planted trees in Jerusalem."
Peter," What? Look, all I'm saying is put an Israeli guy next to an Arab guy and I can't tell the difference."
Joe, You must be Peter. Joe Swanson.
Peter," Yeah, yeah. Nice to meet you, Phil. You know, you got a neighbor on the other side of your house, too. So, you know, don't think you always have to bug me."
Joe," [laughs] I'll keep that in mind. Say, do you have a screwdriver I can borrow?"
Peter," Man, you neighbors are like viruses. Starts with a screwdriver. Then before you know it, you're using my supermarket, my dry cleaner, and even my postman. Sheesh, can you believe that guy? ""Do you have a screwdriver I can borrow?"" What an ass."
Brian," So, Peter, did you find a replacement for the team?"
Peter," No. Believe me, I've been looking."
Manager, Hideo-san would be honored to play for your team. But he wishes to know what compensation you offer.
Peter," Uh, me love you long time."
Brian," Gosh, I'd like to help you, Peter. But I've gotta go out in the hall and chew on the back of my ass for"
Lois," Oh, Peter, I invited Joe and Bonnie to your game on Saturday."
Peter," Lois, I don't want those people there. See, this is why I ask you to submit everything to me in writing first."
Lois, Bonnie told me Joe is a big baseball fan. He played in college.
Peter, He did?
Peter," Welcome to the neighborhood. Hiya, Joe."
Joe, Peter!
Peter," Oh, don't get up."
Joe, This is a surprise. I kinda thought you didn't like me.
Peter," Oh, what? Because of what I said this afternoon. Oh, no, no, no. See I have that disease where stuff just pops out of your mouth. Go to hell! Go to hell! Whoops. See what I mean?"
Joe," Oh, I'm so sorry. I thought maybe I crossed the line when I asked to borrow a screwdriver."
Peter, Are you kidding? You can borrow whatever you want.
Joe," Great. Say, you don't happen to have any picture wire, do you?"
Peter, Picture wire? You son of a bitch.
Peter, Son of a bitch! Son of a bitch! There it goes again.
Joe, I don't want to impose.
Peter," No problem. That's what neighbors do. You know what else they do? They play on their neighbor's company softball team, like this Saturday. What do you say, neighbor?"
Joe, Sounds fun.
Peter," So much fun it should be illegal like...copyright infringement. [Mickey Mouse voice] See you at the game, Joe."
Pawtucket player," Hey, you want a piece of gum?"
Quahog player," Oh, thanks."
Pawtucket player, Ha-ha! That was joke gum.
Quahog player, What do you mean?
Pawtucket player, Now you're addicted to heroin.
Quahog player, I'm cold.
Lois," Hey, Peter!"
 Weed," It's nice that your family is here, Peter. If your ringer doesn't arrive soon, you can spend every day with them-at home."
Peter," He'll be here, Mr. Weed. You should see this guy in action. He can hit, he can throw..."
Joe, Peter!
 Weed, What's he doing in a wheelchair?
Peter," Holy crip, he's a crapple!"
 Weed," Peter, our new secret weapon is this very attractive paraplegic?"
Peter," Okay, Joe, you got me. Rise and shine. Come on. Stand and deliver. Get the hell up."
Joe," Ha, ha, you're a hoot, Peter."
Umpire, Play ball!
Joe, Let's do it!
Peter, I swear I didn't know. Maybe they won't hit a lot of balls to him.
Joe, I got shortstop.
Bonnie, The movers tracked grease all over my carpet. I tried everything to get the stain out.
Lois, What about lemon juice?
Bonnie, What about club soda?
Stewie, What about shutting the hell up?
Meg, Isn't baseball great? [pause] They say baseball's the national pastime. [longer pause] I can't taste salt.
Peter," Ah, crap! Don't hit it to Joe. Please don't hit it to Joe! Please don't hit it to Joe!"
Umpire, You're out!
Peter," All right, Joe! Way to earn that parking space!"
Bonnie, All right!
Lois, Did you see that?
Bonnie, That's my Joe!
Stewie," What the deuce? Half man, half machine. Why, with that technology, I could escape these wretched harridans! Go, cyborg!"
 Weed," It all rests on that man's broad, rippling shoulders!"
 Weed," All right, Joe! Run!"
Peter," All right, Joe! Come on! Yeah!"
 Weed," Hurry! Joe! All right! Yes, vamos!"
Player, Let's hear it for Joe!
Peter," Yeah, let's hear it for the guy who found Joe! Yay. Okay. Huh."
Joe," That's finger suckin' good, huh? It's an old policemen's recipe. Eat up, everyone. Tonight my wife won't be the only one enjoying a pig in a blanket."
Bonnie," Joe, you're so funny."
Joe, They love that one down at the precinct.
Peter," Ah, this sucks, Brian. Joe is stealing my thunder."
Joe," Hey, everybody! Time to limbo!"
Brian, Face it. He's the life of the party.
Peter," Ah, yeah? I'll show you who's the life of the party. Hey, look! Hey! I fell in the pool with my clothes on! How hilarious is that? That is so Peter Griffin. Guys? Huh? Guys?"
Joe, That's my idea.
 Weed," Peter, come here."
Peter," Oh, finally. A little recognition."
 Weed, Joe has the most wonderful idea.
Joe," Hey, I just suggested a line of handi-capable toys. You know, to show kids the fun side of being physically challenged!"
Peter," Oh, yeah, that's what kids want to play with. Yeah. A Beanie Baby in a bubble. What about my idea? Come on! Tootie morphs into a stink bug."
 Weed," Joe, you're exactly the kind of man we need at our company. Peter, make yourself useful. Go get Joe a drink."
Peter," Jeez, first he takes my friends. Then he takes my job. But the way I wear my hat.... No. No. He can't take that away from me."
Stewie, You! How came you by this metal construct? I demand to know who made you!
Lois," Stewie, it's not polite to point. I'm so sorry."
Joe," That's okay, Lois. He's just curious about the chair. About 10 years ago, I was investigating a robbery at an orphanage. It was Christmas Eve and some presents had been stolen."
Joe," Reach for the sky, dirtbag! All right, pal! You've stolen your last Christmas."
The Grinch," You think you have won, you think all is well, but kiss my green ass, I shall see you in hell!"
Joe," Are you Timmy? Merry Christmas, Timmy."
Stewie," Oh, enough! If you won't share your technological schemata with me peaceably, I shall take the information from you by force!"
Lois," Well, looks like you have a fan."
Peter, Come on. Let's get out of here.
Joe," Peter, you can't leave."
Peter," Sorry, I promised the wife and kids I'd take them on a dream vacation to Hawaii, right now. Say aloha, kids."
Meg, What are you talking about? We want to hear more of Mr. Swanson's stories.
Chris," He's cool, Dad. He killed a guy."
Joe," Well, technically, he was killed by the state, but funny story-he did curse my name just before the injection."
Lois," Peter, what's the matter with you?"
Peter," Why are you guys making such a big deal over Joe? You're not supposed to admire wheelchair people. You're supposed to feel sorry for them. Jeez, when did it become okay to be handicapped?"
Lois," Don't talk like that! He's a remarkable man, and the rest of your family adores him."
Peter," Well, fine, then why don't you all marry him? And if he's so remarkable, let's see him do this. ""Hey, look at me, I'm walking. Ooh, I'm a remarkable man."""
Peter," Well, look who finally came home. Jeez, I thought you were gonna spend all night over at Joe's."
Brian, I could have. That man has got magic fingers. He found this one spot behind my ear-forget about it. I thought my leg was never gonna stop.
Peter, I don't believe this. My whole family worships the ground that guy can't walk on.
Brian," Well, it's not too hard to see why. I mean, the guy's a hero; he makes the world a better place."
Peter," Hey, hey, hey, I've done lots of things to help people. Remember that time I sang to the kids down at the Sunday school?"
Brian," Yes, and you forgot the words."
Peter," ? Jesus loves me, he loves me a bunch? ?'Cause he always puts Skippy in my lunch ?"
Brian," No, no, no, it's not the same thing. Joe puts himself in real danger, every day."
Peter," [sighs] You're right. I'll never be that kind of hero...unless I put myself in real danger, too, for my family's sake!"
Brian, Why are the pretty ones always so dumb?
Stewie, [Screaming]
Dispatch radio," We hava a gang shooting on Third and Main. Three wounded, one dead."
Brian," Is it me, or is rap music just getting lazier?"
Peter," No, no. It's my new police scanner. This hero thing is gonna be easy once I find the right crime."
Dispatch radio, We have a domestic disturbance...
Peter, Boring!
Dispatch radio, Report of a stabbing at...
Peter, Blah blah blah blah blah.
Dispatch radio, All units! All units! A major bank robbery is in progress at Quahog Bank and Trust. Suspects are armed and extremely dangerous.
Peter, Perfect! Where's Lois and the kids?
Brian," Uh, over at Joe's."
Peter," Well, go fetch 'em. They're about to see a real hero in action. To the Batcave!"
Peter, Uh-oh.
Peter," Oh, God! Oh, God! Oh, God!"
Peter, You thought Joe was something. You ain't seen nothin' yet.
Lois," Peter, what's the big rush?"
Peter," All right, you guys wait right here. Daddy's gonna make a little withdrawal."
Girl," No, don't go."
Peter," I hope you brought your striped pajamas, boys. 'cause there's a five-year sleepover at the big house, and you're invited."
Peter," Oh, Lois and the kids should be in here to see this."
Brian, Yes. It's going very well.
Meg," Mom, what do you do when you like a boy but he doesn't even notice you?"
Chris, Meg loves Kevin.
Meg," Shut up, you big sack of dog vomit!"
Lois," Meg, you're a sweet, lovely girl. He'll come around."
Meg, Such a mom answer.
Lois," Well, have you tried showing off the goods? How's that for a mom answer?"
Meg, Creepy.
Lois," Oh, I saw some cute dresses down the street. If nothing else, it'll make you feel better. Come on, you guys."
Brian," Well, if you want to be a hero, now might be a good time."
Peter," Jeez, Brian, this isn't what I was expecting. I thought being a hero would be all fun and games."
Peter," Sorry, Wonder Woman, I got three kings. Now let's see your pair."
Peter," Haha, all right. Hey, Robin, what are you looking at me for? Look at her."
Peter," Don't worry, Brian. I got a plan."
Brian," Oh, good. I was afraid you were just gonna improvise."
Peter," Oh. Well, actually, I was gonna use the little girl as a human shield and run like hell. But improvise, that'll be easier on my back."
Peter," Okay, in this improv, Tammy and the short robber are husband and wife. Okay. And where are we?"
Old woman," Guadalajara, Mexico!"
Peter," Okay, okay. I heard pet store. And I'm the gruff but lovable owner. All right. Begin. Hello, married couple. I see you found a puppy."
Peter," Well, before you take Sparky home, let me check him for worms. Okay, drop it! All right, you guys. Let's get out of here."
Cop," All right, stand back!"
